Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Payment,Rating
C,Naypyitaw,Member,Female,Health and beauty,97.69,9,923.17,Cash,8.2
A,Yangon,Normal,Male,Health and beauty,61.67,8,518.03,Cash,6.6
A,Yangon,Member,Female,Sports and travel,20.27,2,42.57,Cash,7.0
C,Naypyitaw,Member,Male,Electronic accessories,83.0,5,435.75,Ewallet,10.0
A,Yangon,Normal,Male,Food and beverages,44.23,8,371.53,Cash,9.2
B,Mandalay,Normal,Male,Food and beverages,96.41,2,202.46,Ewallet,7.8
B,Mandalay,Member,Male,Electronic accessories,25.64,2,53.84,Ewallet,4.0
B,Mandalay,Normal,Female,Health and beauty,30.83,5,161.86,Credit card,9.2
A,Yangon,Member,Female,Fashion accessories,63.08,4,264.94,Cash,4.7
A,Yangon,Member,Female,Electronic accessories,16.43,3,51.75,Cash,7.6
C,Naypyitaw,Normal,Female,Health and beauty,52.18,5,273.94,Credit card,6.4
B,Mandalay,Normal,Female,Health and beauty,63.82,7,469.08,Credit card,5.9
B,Mandalay,Member,Male,Electronic accessories,96.57,10,1013.99,Credit card,9.7
C,Naypyitaw,Normal,Male,Electronic accessories,52.35,8,439.74,Cash,5.1
C,Naypyitaw,Normal,Female,Health and beauty,52.3,7,384.4,Cash,5.9
A,Yangon,Member,Female,Sports and travel,72.43,5,380.26,Credit card,9.7
C,Naypyitaw,Member,Female,Health and beauty,38.31,6,241.35,Ewallet,9.8
B,Mandalay,Member,Female,Sports and travel,14.88,9,140.62,Cash,7.7
B,Mandalay,Normal,Male,Electronic accessories,34.04,3,107.23,Cash,6.6
C,Naypyitaw,Normal,Male,Health and beauty,97.58,10,1024.59,Ewallet,8.3
B,Mandalay,Member,Female,Health and beauty,30.22,2,63.46,Cash,9.7
C,Naypyitaw,Member,Female,Fashion accessories,36.27,5,190.42,Cash,9.0
B,Mandalay,Member,Female,Food and beverages,23.02,4,96.68,Credit card,7.0
A,Yangon,Member,Female,Sports and travel,40.59,9,383.58,Cash,8.9
B,Mandalay,Normal,Female,Electronic accessories,50.19,8,421.6,Cash,6.0
C,Naypyitaw,Normal,Female,Home and lifestyle,88.26,4,370.69,Credit card,6.3
B,Mandalay,Member,Female,Fashion accessories,52.57,7,386.39,Cash,9.9
C,Naypyitaw,Member,Female,Health and beauty,21.36,10,224.28,Cash,9.2
B,Mandalay,Member,Female,Health and beauty,75.02,7,551.4,Credit card,9.8
A,Yangon,Normal,Female,Home and lifestyle,66.09,7,485.76,Credit card,4.5
B,Mandalay,Normal,Female,Fashion accessories,74.68,8,627.31,Credit card,4.2
A,Yangon,Member,Female,Electronic accessories,77.21,7,567.49,Ewallet,8.6
C,Naypyitaw,Member,Female,Electronic accessories,72.46,1,76.08,Ewallet,5.9
A,Yangon,Normal,Female,Home and lifestyle,48.76,4,204.79,Credit card,6.5
C,Naypyitaw,Member,Male,Electronic accessories,17.11,7,125.76,Credit card,8.1
B,Mandalay,Member,Male,Sports and travel,67.41,8,566.24,Cash,8.0
B,Mandalay,Normal,Male,Health and beauty,49.76,6,313.49,Credit card,5.8
B,Mandalay,Normal,Female,Home and lifestyle,27.93,7,205.29,Cash,4.6
B,Mandalay,Normal,Female,Fashion accessories,36.57,7,268.79,Cash,4.0
C,Naypyitaw,Member,Female,Home and lifestyle,79.82,4,335.24,Credit card,8.8
A,Yangon,Member,Female,Fashion accessories,78.0,3,245.7,Credit card,4.6
C,Naypyitaw,Member,Female,Sports and travel,13.0,6,81.9,Credit card,4.8
B,Mandalay,Normal,Female,Electronic accessories,28.07,9,265.26,Cash,7.2
B,Mandalay,Member,Female,Sports and travel,97.06,5,509.57,Credit card,9.2
A,Yangon,Normal,Male,Electronic accessories,77.87,4,327.05,Credit card,8.3
B,Mandalay,Normal,Male,Sports and travel,11.25,9,106.31,Ewallet,6.7
C,Naypyitaw,Normal,Female,Fashion accessories,94.63,2,198.72,Credit card,5.4
A,Yangon,Normal,Male,Fashion accessories,15.69,8,131.8,Credit card,5.8
B,Mandalay,Member,Male,Health and beauty,95.16,5,499.59,Cash,4.7
A,Yangon,Member,Female,Sports and travel,43.39,9,410.04,Cash,7.5
C,Naypyitaw,Member,Female,Fashion accessories,18.91,8,158.84,Credit card,6.4
B,Mandalay,Member,Female,Electronic accessories,49.9,4,209.58,Cash,4.6
C,Naypyitaw,Normal,Female,Health and beauty,45.83,4,192.49,Ewallet,9.7
B,Mandalay,Member,Male,Fashion accessories,67.55,1,70.93,Ewallet,8.7
A,Yangon,Member,Male,Health and beauty,84.68,9,800.23,Ewallet,7.5
A,Yangon,Normal,Male,Food and beverages,10.26,3,32.32,Ewallet,7.2
A,Yangon,Member,Male,Electronic accessories,11.34,4,47.63,Credit card,5.9
A,Yangon,Normal,Male,Electronic accessories,76.75,9,725.29,Ewallet,8.5
B,Mandalay,Normal,Female,Food and beverages,63.43,8,532.81,Credit card,5.3
C,Naypyitaw,Member,Female,Sports and travel,67.9,1,71.3,Ewallet,10.0
B,Mandalay,Normal,Male,Sports and travel,74.12,8,622.61,Ewallet,9.4
B,Mandalay,Member,Male,Electronic accessories,34.75,10,364.88,Credit card,8.3
B,Mandalay,Normal,Female,Food and beverages,64.49,2,135.43,Credit card,4.7
C,Naypyitaw,Member,Female,Sports and travel,89.93,7,660.99,Cash,9.0
B,Mandalay,Normal,Male,Home and lifestyle,48.41,5,254.15,Cash,9.7
C,Naypyitaw,Normal,Male,Health and beauty,84.86,2,178.21,Cash,4.6
C,Naypyitaw,Normal,Male,Food and beverages,15.4,9,145.53,Credit card,6.0
A,Yangon,Normal,Female,Fashion accessories,94.7,7,696.04,Credit card,4.3
B,Mandalay,Normal,Female,Health and beauty,62.01,4,260.44,Ewallet,7.9
A,Yangon,Member,Female,Food and beverages,43.08,5,226.17,Credit card,5.4
B,Mandalay,Member,Female,Health and beauty,26.24,5,137.76,Cash,6.1
A,Yangon,Member,Female,Health and beauty,22.77,1,23.91,Ewallet,8.5
A,Yangon,Normal,Female,Sports and travel,40.68,6,256.28,Cash,8.3
C,Naypyitaw,Member,Male,Electronic accessories,24.17,10,253.79,Ewallet,8.0
B,Mandalay,Normal,Female,Sports and travel,64.64,7,475.1,Cash,5.3
C,Naypyitaw,Member,Female,Sports and travel,19.98,10,209.79,Cash,7.2
B,Mandalay,Member,Male,Sports and travel,98.6,1,103.53,Ewallet,5.2
A,Yangon,Member,Female,Home and lifestyle,39.53,1,41.51,Cash,8.5
A,Yangon,Member,Female,Food and beverages,73.33,9,692.97,Credit card,9.0
B,Mandalay,Member,Female,Fashion accessories,13.81,1,14.5,Cash,9.5
B,Mandalay,Normal,Female,Fashion accessories,67.61,5,354.95,Ewallet,6.4
B,Mandalay,Member,Female,Fashion accessories,92.78,2,194.84,Cash,9.1
A,Yangon,Normal,Female,Food and beverages,17.08,5,89.67,Credit card,6.0
B,Mandalay,Member,Male,Food and beverages,66.99,9,633.06,Credit card,5.2
B,Mandalay,Normal,Male,Electronic accessories,19.25,5,101.06,Ewallet,5.0
A,Yangon,Member,Male,Fashion accessories,54.47,10,571.94,Credit card,6.7
C,Naypyitaw,Normal,Female,Electronic accessories,49.58,8,416.47,Cash,7.8
B,Mandalay,Member,Female,Food and beverages,16.68,8,140.11,Cash,4.2
B,Mandalay,Normal,Male,Fashion accessories,87.78,2,184.34,Credit card,7.6
B,Mandalay,Normal,Male,Sports and travel,91.81,10,964.01,Credit card,5.1
C,Naypyitaw,Normal,Male,Health and beauty,50.55,6,318.46,Credit card,4.5
C,Naypyitaw,Member,Male,Electronic accessories,73.69,8,619.0,Credit card,7.1
A,Yangon,Normal,Female,Home and lifestyle,44.87,6,282.68,Credit card,7.6
C,Naypyitaw,Normal,Male,Home and lifestyle,18.51,7,136.05,Cash,5.5
C,Naypyitaw,Member,Female,Health and beauty,62.45,3,196.72,Cash,5.9
C,Naypyitaw,Normal,Male,Food and beverages,73.8,2,154.98,Cash,7.4
C,Naypyitaw,Normal,Male,Fashion accessories,73.25,9,692.21,Ewallet,7.9
B,Mandalay,Normal,Male,Home and lifestyle,37.8,4,158.76,Cash,9.7
B,Mandalay,Member,Male,Electronic accessories,23.95,5,125.74,Ewallet,7.0
C,Naypyitaw,Member,Female,Food and beverages,21.79,7,160.16,Ewallet,5.0
C,Naypyitaw,Member,Female,Health and beauty,46.98,4,197.32,Cash,7.7
C,Naypyitaw,Normal,Male,Food and beverages,31.53,8,264.85,Ewallet,6.2
C,Naypyitaw,Normal,Female,Home and lifestyle,80.03,9,756.28,Credit card,6.5
A,Yangon,Member,Male,Home and lifestyle,14.7,8,123.48,Cash,7.3
A,Yangon,Member,Female,Health and beauty,78.68,5,413.07,Cash,9.4
A,Yangon,Normal,Male,Electronic accessories,83.5,6,526.05,Ewallet,6.5
B,Mandalay,Normal,Male,Sports and travel,99.51,6,626.91,Ewallet,4.2
A,Yangon,Normal,Male,Electronic accessories,13.45,8,112.98,Credit card,9.0
C,Naypyitaw,Normal,Female,Food and beverages,10.47,2,21.99,Ewallet,5.5
A,Yangon,Normal,Male,Home and lifestyle,31.39,2,65.92,Ewallet,5.4
C,Naypyitaw,Normal,Male,Health and beauty,85.3,8,716.52,Credit card,7.2
C,Naypyitaw,Member,Male,Home and lifestyle,48.63,10,510.62,Cash,5.4
B,Mandalay,Member,Male,Food and beverages,97.72,2,205.21,Credit card,7.3
C,Naypyitaw,Member,Female,Sports and travel,13.92,7,102.31,Cash,5.5
A,Yangon,Normal,Male,Home and lifestyle,31.7,2,66.57,Credit card,8.4
B,Mandalay,Member,Male,Home and lifestyle,59.14,3,186.29,Credit card,6.8
C,Naypyitaw,Normal,Male,Electronic accessories,15.68,8,131.71,Ewallet,5.8
A,Yangon,Member,Male,Home and lifestyle,94.0,9,888.3,Cash,9.9
C,Naypyitaw,Normal,Female,Health and beauty,77.8,4,326.76,Cash,6.1
A,Yangon,Normal,Female,Health and beauty,81.94,7,602.26,Cash,8.5
B,Mandalay,Normal,Male,Sports and travel,72.29,6,455.43,Credit card,5.6
A,Yangon,Normal,Male,Sports and travel,64.22,3,202.29,Credit card,5.8
A,Yangon,Member,Female,Fashion accessories,36.61,8,307.52,Credit card,8.3
A,Yangon,Normal,Female,Sports and travel,13.81,6,87.0,Credit card,10.0
B,Mandalay,Member,Male,Fashion accessories,67.38,6,424.49,Credit card,8.8
C,Naypyitaw,Member,Male,Electronic accessories,86.38,8,725.59,Ewallet,4.8
A,Yangon,Normal,Female,Sports and travel,95.45,1,100.22,Credit card,4.9
B,Mandalay,Normal,Female,Sports and travel,78.68,10,826.14,Ewallet,7.2
B,Mandalay,Normal,Female,Electronic accessories,96.45,1,101.27,Credit card,5.1
C,Naypyitaw,Normal,Male,Home and lifestyle,79.75,8,669.9,Ewallet,10.0
B,Mandalay,Normal,Male,Health and beauty,22.22,2,46.66,Cash,5.0
C,Naypyitaw,Normal,Male,Fashion accessories,97.08,6,611.6,Credit card,6.1
A,Yangon,Normal,Female,Electronic accessories,74.06,3,233.29,Cash,7.1
A,Yangon,Member,Male,Electronic accessories,81.13,1,85.19,Cash,7.3
B,Mandalay,Normal,Male,Food and beverages,89.58,2,188.12,Cash,6.4
C,Naypyitaw,Normal,Female,Sports and travel,84.1,2,176.61,Ewallet,9.8
C,Naypyitaw,Member,Female,Sports and travel,71.21,6,448.62,Ewallet,9.3
C,Naypyitaw,Member,Male,Sports and travel,55.26,1,58.02,Ewallet,7.1
B,Mandalay,Member,Male,Home and lifestyle,94.13,4,395.35,Cash,9.7
C,Naypyitaw,Normal,Male,Home and lifestyle,27.67,9,261.48,Cash,4.8
B,Mandalay,Member,Male,Food and beverages,94.74,3,298.43,Ewallet,8.0
C,Naypyitaw,Normal,Male,Health and beauty,17.31,10,181.75,Cash,7.9
C,Naypyitaw,Normal,Male,Sports and travel,90.01,9,850.59,Cash,7.9
B,Mandalay,Normal,Male,Fashion accessories,46.55,8,391.02,Ewallet,8.1
A,Yangon,Normal,Female,Sports and travel,51.8,6,326.34,Credit card,4.9
C,Naypyitaw,Normal,Female,Sports and travel,21.77,6,137.15,Credit card,7.4
B,Mandalay,Member,Female,Health and beauty,34.07,4,143.09,Ewallet,4.6
B,Mandalay,Normal,Female,Electronic accessories,96.64,3,304.42,Cash,9.6
C,Naypyitaw,Normal,Male,Electronic accessories,54.84,9,518.24,Cash,7.0
B,Mandalay,Normal,Male,Health and beauty,95.07,9,898.41,Cash,9.8
A,Yangon,Normal,Male,Health and beauty,35.32,10,370.86,Credit card,8.0
B,Mandalay,Member,Male,Sports and travel,22.05,5,115.76,Credit card,6.2
B,Mandalay,Normal,Male,Sports and travel,14.6,9,137.97,Ewallet,6.2
B,Mandalay,Member,Female,Food and beverages,50.53,9,477.51,Cash,9.0
C,Naypyitaw,Member,Male,Health and beauty,45.45,6,286.34,Credit card,9.6
A,Yangon,Member,Female,Food and beverages,13.62,1,14.3,Ewallet,8.3
B,Mandalay,Normal,Male,Food and beverages,90.38,3,284.7,Cash,9.6
B,Mandalay,Member,Female,Food and beverages,76.54,5,401.84,Credit card,6.0
C,Naypyitaw,Normal,Female,Sports and travel,83.42,6,525.55,Cash,8.0
B,Mandalay,Normal,Male,Food and beverages,52.71,10,553.46,Credit card,5.4
A,Yangon,Normal,Male,Food and beverages,66.61,10,699.41,Cash,4.9
C,Naypyitaw,Member,Male,Food and beverages,95.34,2,200.21,Ewallet,4.1
B,Mandalay,Normal,Male,Sports and travel,72.15,7,530.3,Credit card,8.6
B,Mandalay,Member,Male,Food and beverages,28.66,6,180.56,Credit card,6.9
B,Mandalay,Normal,Male,Sports and travel,92.09,6,580.17,Credit card,6.1
C,Naypyitaw,Normal,Female,Electronic accessories,96.16,5,504.84,Credit card,5.8
B,Mandalay,Normal,Male,Fashion accessories,73.45,6,462.74,Cash,6.1
C,Naypyitaw,Normal,Female,Health and beauty,61.61,9,582.21,Cash,9.4
B,Mandalay,Normal,Male,Home and lifestyle,13.79,2,28.96,Cash,9.5
C,Naypyitaw,Normal,Female,Electronic accessories,28.19,9,266.4,Cash,9.6
C,Naypyitaw,Normal,Male,Health and beauty,65.41,10,686.8,Ewallet,5.5
C,Naypyitaw,Member,Male,Health and beauty,19.02,6,119.83,Credit card,6.8
C,Naypyitaw,Member,Male,Food and beverages,98.01,3,308.73,Cash,7.9
B,Mandalay,Normal,Male,Home and lifestyle,38.91,1,40.86,Ewallet,7.9
A,Yangon,Member,Male,Sports and travel,89.4,3,281.61,Ewallet,10.0
B,Mandalay,Normal,Male,Fashion accessories,96.59,5,507.1,Ewallet,4.1
C,Naypyitaw,Member,Female,Home and lifestyle,50.89,9,480.91,Credit card,7.0
A,Yangon,Normal,Female,Electronic accessories,82.79,6,521.58,Ewallet,8.4
C,Naypyitaw,Normal,Male,Health and beauty,76.3,5,400.57,Credit card,8.0
A,Yangon,Member,Female,Sports and travel,56.38,2,118.4,Cash,8.0
A,Yangon,Member,Female,Home and lifestyle,94.22,1,98.93,Cash,6.3
B,Mandalay,Normal,Female,Home and lifestyle,62.42,10,655.41,Ewallet,5.6
B,Mandalay,Member,Male,Fashion accessories,20.64,5,108.36,Ewallet,6.4
C,Naypyitaw,Normal,Male,Fashion accessories,92.45,5,485.36,Cash,7.7
A,Yangon,Member,Female,Electronic accessories,50.95,10,534.98,Cash,6.5
C,Naypyitaw,Normal,Male,Electronic accessories,71.23,10,747.92,Ewallet,7.2
C,Naypyitaw,Normal,Male,Food and beverages,20.1,9,189.95,Credit card,5.2
C,Naypyitaw,Member,Male,Home and lifestyle,86.9,8,729.96,Ewallet,8.1
C,Naypyitaw,Normal,Male,Food and beverages,50.09,1,52.59,Cash,4.8
B,Mandalay,Normal,Male,Food and beverages,51.61,5,270.95,Credit card,4.1
B,Mandalay,Member,Male,Food and beverages,16.57,7,121.79,Cash,8.2
C,Naypyitaw,Member,Male,Sports and travel,12.86,7,94.52,Ewallet,8.6
C,Naypyitaw,Normal,Female,Sports and travel,50.37,7,370.22,Cash,4.5
C,Naypyitaw,Member,Female,Health and beauty,26.06,9,246.27,Cash,7.2
C,Naypyitaw,Member,Male,Health and beauty,98.06,8,823.7,Credit card,8.3
B,Mandalay,Normal,Male,Electronic accessories,51.46,3,162.1,Cash,5.1
C,Naypyitaw,Member,Male,Fashion accessories,47.73,1,50.12,Ewallet,5.2
A,Yangon,Member,Female,Food and beverages,70.48,1,74.0,Ewallet,8.4
B,Mandalay,Normal,Male,Food and beverages,29.55,1,31.03,Ewallet,7.0
B,Mandalay,Member,Female,Food and beverages,63.81,6,402.0,Ewallet,5.8
A,Yangon,Member,Female,Home and lifestyle,34.76,9,328.48,Credit card,9.3
A,Yangon,Normal,Female,Health and beauty,97.51,7,716.7,Credit card,5.9
B,Mandalay,Normal,Male,Home and lifestyle,43.88,9,414.67,Cash,5.4
A,Yangon,Normal,Male,Sports and travel,92.33,9,872.52,Cash,9.8
C,Naypyitaw,Member,Female,Electronic accessories,32.95,6,207.59,Credit card,4.5
B,Mandalay,Normal,Male,Food and beverages,75.21,4,315.88,Ewallet,5.6
C,Naypyitaw,Member,Male,Electronic accessories,82.42,10,865.41,Credit card,8.0
A,Yangon,Normal,Male,Home and lifestyle,37.29,1,39.15,Ewallet,9.6
C,Naypyitaw,Member,Female,Electronic accessories,72.61,4,304.96,Cash,9.5
C,Naypyitaw,Normal,Female,Sports and travel,51.96,6,327.35,Cash,5.6
C,Naypyitaw,Normal,Female,Health and beauty,82.25,8,690.9,Cash,9.5
B,Mandalay,Normal,Female,Health and beauty,60.63,4,254.65,Credit card,4.9
B,Mandalay,Normal,Female,Electronic accessories,27.66,4,116.17,Cash,7.4
A,Yangon,Normal,Female,Home and lifestyle,78.7,8,661.08,Credit card,7.9
B,Mandalay,Normal,Male,Fashion accessories,81.55,3,256.88,Ewallet,8.3
B,Mandalay,Member,Male,Food and beverages,13.04,2,27.38,Credit card,4.3
A,Yangon,Normal,Male,Fashion accessories,30.83,3,97.11,Ewallet,5.3
B,Mandalay,Normal,Male,Food and beverages,67.4,10,707.7,Cash,8.0
A,Yangon,Member,Female,Health and beauty,11.51,5,60.43,Credit card,9.9
A,Yangon,Normal,Male,Health and beauty,92.62,9,875.26,Ewallet,5.4
C,Naypyitaw,Normal,Female,Home and lifestyle,81.54,2,171.23,Cash,9.8
B,Mandalay,Member,Male,Home and lifestyle,71.56,2,150.28,Credit card,10.0
C,Naypyitaw,Member,Male,Sports and travel,44.13,9,417.03,Cash,4.3
A,Yangon,Member,Male,Sports and travel,86.08,6,542.3,Credit card,9.9
A,Yangon,Member,Male,Electronic accessories,91.11,10,956.66,Cash,5.6
A,Yangon,Normal,Male,Electronic accessories,93.59,6,589.62,Ewallet,9.8
C,Naypyitaw,Member,Female,Health and beauty,36.93,10,387.77,Ewallet,7.4
B,Mandalay,Normal,Female,Fashion accessories,22.6,2,47.46,Credit card,8.5
B,Mandalay,Member,Male,Sports and travel,30.89,2,64.87,Cash,7.6
C,Naypyitaw,Normal,Female,Health and beauty,67.07,8,563.39,Cash,5.4
C,Naypyitaw,Normal,Female,Electronic accessories,71.17,7,523.1,Ewallet,8.6
B,Mandalay,Member,Male,Health and beauty,34.12,7,250.78,Credit card,8.7
A,Yangon,Normal,Female,Home and lifestyle,19.59,1,20.57,Cash,6.7
B,Mandalay,Member,Male,Health and beauty,26.87,8,225.71,Credit card,7.3
B,Mandalay,Member,Male,Health and beauty,41.85,2,87.89,Credit card,7.6
B,Mandalay,Normal,Male,Home and lifestyle,47.24,2,99.2,Credit card,9.4
A,Yangon,Member,Female,Electronic accessories,22.5,5,118.12,Cash,7.0
A,Yangon,Member,Female,Home and lifestyle,47.9,8,402.36,Ewallet,6.2
A,Yangon,Normal,Male,Sports and travel,19.63,5,103.06,Ewallet,9.7
B,Mandalay,Normal,Female,Sports and travel,40.13,10,421.37,Ewallet,5.8
C,Naypyitaw,Member,Female,Home and lifestyle,25.99,7,191.03,Cash,5.7
C,Naypyitaw,Normal,Male,Home and lifestyle,43.84,7,322.22,Cash,4.7
